Queue Size,Total Latency (ns),Latency per Frame (ns)
1,4027850,4027850
2,4087762,2043881
3,4034653,1344884
4,4203756,1050939
5,4096549,819309
6,4209279,701546
7,4370894,624413
8,4816272,602034
9,5381916,597990
10,5573385,557338
11,5990008,544546
12,6408064,534005
13,6922316,532485
14,7287533,520538
15,7322304,488153
16,7504966,469060
17,7861053,462414
18,8120644,451146
19,8575404,451337
20,9083601,454180
21,9444350,449730
22,9763997,443818
23,10086371,438537
24,10513468,438061
25,10855993,434239
26,11245347,432513
27,11700561,433354
28,11957243,427044
29,12447091,429210
30,12773639,425787
