Queue Size,Total Latency (ns),Latency per Frame (ns)
1,1639368,1639368
2,1559204,779602
3,1820724,606908
4,1927813,481953
5,2137881,427576
6,2237461,372910
7,2227801,318257
8,2463210,307901
9,2437885,270876
10,2460249,246024
11,2621017,238274
12,2643053,220254
13,2777138,213626
14,2930584,209327
15,3006621,200441
16,3060927,191307
17,3116232,183307
18,3181873,176770
19,3315919,174522
20,3244629,162231
21,3003184,143008
22,3181455,144611
23,3463499,150586
24,3708455,154518
25,3526436,141057
26,3380996,130038
27,3693134,136782
28,3996002,142714
29,3979314,137217
30,4032940,134431
