Queue Size,Total Latency (ns),Latency per Frame (ns)
1,525443,525443
2,496042,248021
3,472960,157653
4,448294,112073
5,411703,82340
6,429792,71632
7,438855,62693
8,445958,55744
9,459144,51016
10,471330,47133
11,487269,44297
12,490552,40879
13,497980,38306
14,499936,35709
15,507552,33836
16,513526,32095
17,526703,30982
18,533415,29634
19,539546,28397
20,551525,27576
21,558606,26600
22,567390,25790
23,576708,25074
24,606805,25283
25,683711,27348
26,700814,26954
27,755936,27997
28,730297,26082
29,753555,25984
30,771083,25702
