Queue Size,Total Latency (ns),Latency per Frame (ns)
1,1336948,1336948
2,1996550,998275
3,2344410,781470
4,2309999,577499
5,2807787,561557
6,2787530,464588
7,2790196,398599
8,2650435,331304
9,2665078,296119
10,2810000,281000
11,2948297,268027
12,2684484,223707
13,2812533,216348
14,2730051,195003
15,3097604,206506
16,2742836,171427
17,2932292,172487
18,2759523,153306
19,2738886,144151
20,2778330,138916
21,2871484,136737
22,2766450,125747
23,2779444,120845
24,2954707,123112
25,3610775,144431
26,3783772,145529
27,3827810,141770
28,4077365,145620
29,4232501,145948
30,4395392,146513
