Queue Size,Total Latency (ns),Latency per Frame (ns)
1,1943562,1943562
2,3638917,1819458
3,4094419,1364806
4,3781551,945387
5,4761991,952398
6,4922651,820441
7,5249704,749957
8,5381294,672661
9,5319648,591072
10,4668932,466893
11,5042745,458431
12,4548139,379011
13,4527966,348305
14,4580332,327166
15,4490626,299375
16,4489321,280582
17,4464056,262591
18,4380120,243340
19,4304197,226536
20,4260268,213013
21,4252036,202477
22,4261733,193715
23,4242390,184451
24,4368950,182039
25,5828345,233133
26,6115188,235199
27,6509283,241084
28,6757393,241335
29,7108453,245119
30,7256432,241881
